2,SFPC005,deltazarashi,10,07/10/20 08:48:12,07/10/20 11:14:26,  2:26:14
3,SFPC005,loveflower,10,06/15/20 09:28:54,06/15/20 12:13:36,  2:44:42
4,SFPC005,RinkaSasagawa,10,07/10/20 08:48:51,07/10/20 12:25:35,  3:36:44
5,SFPC005,yanai,10,06/11/20 09:04:27,06/11/20 15:23:55,  6:19:28
6,SFPC005,yukakawamoto,10,07/10/20 08:46:39,07/10/20 15:13:09,  6:26:30
7,SFPC005,takanoyuto,10,07/10/20 09:08:43,07/10/20 16:01:48,  6:53:05
8,SFPC005,NakatsukaMomoka,10,07/10/20 09:16:57,07/10/20 16:22:05,  7:05:08
9,SFPC005,ZatoZatoYuki,10,07/09/20 09:40:07,07/09/20 16:57:48,  7:17:41
10,SFPC005,yuichiyoshida,10,07/09/20 08:42:01,07/09/20 16:50:23,  8:08:22
11,SFPC005,KanaeTsukimitsu,10,07/09/20 09:55:03,07/09/20 18:12:38,  8:17:35
12,SFPC005,hosonuma,10,07/10/20 08:58:57,09/02/20 16:50:24,1303:51:27
13,SFPC005,okakita,9,06/11/20 09:20:27,06/11/20 12:18:45,  2:58:18
14,SFPC005,ShuHONDA,9,06/11/20 09:53:21,06/11/20 14:26:29,  4:33:08
1,SFPC006,deltazarashi,10,07/14/20 08:53:14,07/14/20 11:45:38,  2:52:24
2,SFPC006,RinkaSasagawa,10,07/14/20 09:30:22,07/14/20 13:49:06,  4:18:44
3,SFPC006,namba1997,10,07/13/20 08:45:47,07/13/20 13:42:35,  4:56:48
4,SFPC006,yukakawamoto,10,07/14/20 08:50:26,07/14/20 14:28:04,  5:37:38
5,SFPC006,NakatsukaMomoka,10,07/14/20 08:51:22,07/14/20 16:20:23,  7:29:01
6,SFPC006,yanai,10,06/15/20 09:21:20,06/15/20 16:53:12,  7:31:52
7,SFPC006,takanoyuto,10,07/14/20 09:02:19,08/31/20 16:31:52,1159:29:33
8,SFPC006,ShuHONDA,10,06/15/20 01:18:06,07/13/20 04:13:00,674:54:54
9,SFPC006,yuichiyoshida,9,07/13/20 08:58:54,07/13/20 17:14:44,  8:15:50
10,SFPC006,KanaeTsukimitsu,9,07/13/20 08:54:39,07/14/20 21:56:51, 37:02:12
11,SFPC006,hosonuma,8,07/14/20 09:12:39,07/14/20 17:07:26,  7:54:47
12,SFPC006,ZatoZatoYuki,7,07/13/20 09:35:36,07/13/20 17:09:27,  7:33:51
13,SFPC006,okakita,5,06/15/20 16:16:52,06/15/20 18:42:10,  2:25:18
14,SFPC006,loveflower,0,01/01/70 09:00:00,01/01/70 09:00:00,  0:00:00
